serial.no,sampleID,mean,std_dev,kurtosis,rms
78,32_3,1998.2180952380952,105.56768230207668,-0.00418682926123104,2001.0034444652774
79,34_1,1944.2380952380952,201.78489265184297,-1.0837043357541842,1954.676322249263
80,34_2,2034.4376190476191,117.91598503781984,-1.3625167694043392,2037.8503341231205
81,34_3,2018.3457142857144,115.96097035943824,-1.1839325616978216,2021.6725663950347
82,35_1,2034.2219047619049,151.40097950393272,-1.0569701987057816,2039.8456066691956
83,35_2,2024.4828571428573,150.5475291843878,-0.8767887649100752,2030.0700984847554
84,35_3,1995.9195238095238,141.06389032173732,-0.8833353925300997,2000.895872091394
85,38_1,2000.5452380952381,115.50358019480814,-0.8880144084095671,2003.8752390828936
86,38_2,2004.0657142857142,124.88328029676025,-0.7578191829961649,2007.9511434010824
87,38_3,2018.1590476190477,123.22156666634335,-0.8026611380578945,2021.9154942069874
88,40_1,1961.2895238095239,181.7675745360078,0.8928703826792632,1969.6904107716305
89,40_2,1997.8519047619047,104.98801161711911,-0.3420471085484653,2000.6072745901074
90,40_3,2019.9009523809523,137.73508449469213,-1.0669265505810783,2024.5892860387405
91,41_1,1948.3080952380953,177.60587923387507,-0.6616694303653703,1956.3826981009036
92,41_2,2016.0342857142857,108.38054621217931,-0.801028464243132,2018.9440285644846
93,41_3,2003.9319047619047,103.34555434487461,-0.9095797767656904,2006.5937049304891
94,43_1,2049.6257142857144,100.52320444284047,-1.0922112815467373,2052.088124674126
95,43_2,2023.9333333333334,49.98638531489636,-1.044275583025203,2024.55021836127
96,43_3,2022.982380952381,54.501379399108345,-1.062111576751453,2023.7160619819692
97,45_1,2046.9619047619049,212.581166240793,-0.9463836222557211,2057.965566373974
98,45_2,2044.5690476190475,165.36094608690175,-0.943191413757265,2051.2420169021407
99,45_3,2018.944761904762,183.60283428813892,-0.892291613986492,2027.2720340398325
100,47_1,2027.7242857142858,129.5659837515678,-1.0954553428721479,2031.8575562887324
101,47_2,2004.827619047619,125.23309871159724,-0.9626247352595709,2008.7333428947563
102,47_3,2009.6880952380952,66.89728426768964,-1.2723127850719542,2010.800675281935
103,48_1,1968.6061904761905,242.47828084987012,-0.8703110561780742,1983.4762544343105
104,48_2,2008.3123809523809,239.26813442568164,-0.839887879022478,2022.5084914766708
105,48_3,2017.490476190476,133.18801221639026,-1.3266653470905874,2021.879922486096
106,50_1,2035.184761904762,168.249794885405,-1.3425803130928458,2042.1242686407281
107,50_2,2011.882380952381,88.6529651864414,-1.2652536981443006,2013.8337370488634
108,50_3,2007.7857142857142,96.54632434662864,-1.2666034759247726,2010.1045317523735
109,51_1,2047.2257142857143,100.46998421503721,-1.0291605525844572,2049.6883997794585
110,51_2,2003.3828571428571,62.165695472628535,-0.7583097520008946,2004.3466780261058
111,51_3,2012.334761904762,51.01631077338524,-0.827326572045362,2012.9810278717057
112,52_1,1992.9514285714286,117.41782129373499,-0.7945235927212186,1996.405714325241
113,52_2,1996.7904761904763,64.36979208580696,-0.7928614281670425,1997.827245498755
114,52_3,2000.587142857143,58.003511635151234,-0.631474932746114,2001.4274209744833
115,53_1,1951.1885714285713,232.730908379111,-0.9897451725080533,1965.012652570437
116,53_2,2034.0633333333333,237.5927497003631,-1.1342850509798954,2047.8860021053536
117,53_3,2010.2466666666667,108.58388613021661,-1.111003547169019,2013.1757267229968
118,54_1,2023.9542857142858,261.4522162231531,-0.5559865853525663,2040.7634995149194
119,54_2,1989.6604761904762,245.24601110827135,-0.6083857334745999,2004.7108957937764
120,54_3,2004.6328571428571,127.06264080880683,-0.18214672606670224,2008.6538075465937
121,55_1,1987.692380952381,41.5771912111863,-0.7770488094484134,1988.126968015972
122,55_2,2052.4961904761903,73.4530505060481,1.5101422771266844,2053.809483212436
123,55_3,2050.17,77.9100038771967,0.9685613293619078,2051.6491189145518
124,56_1,2026.1209523809523,158.02961843907502,-0.5225395379113085,2032.2715325233391
125,56_2,2042.477619047619,68.74570781558542,-1.037018323091028,2043.633662423497
126,56_3,2001.5066666666667,81.65155316751364,-0.738145397113525,2003.1706712347898
127,57_1,2064.67,178.45894005983462,-1.0925524239783821,2072.3645038136187
128,57_2,2022.7790476190476,218.65678505664525,-1.4104831737532568,2034.5572240896147
129,57_3,2027.3814285714286,93.71948218729722,-1.3357482859572873,2029.545420953738
130,58_1,2020.7352380952382,266.29974370629355,-1.0200507959432104,2038.1983923717207
131,58_2,1889.6171428571429,290.42413677247424,-1.0020254992639703,1911.7946963396412
132,58_3,1996.2814285714285,142.6402750240605,-1.1852256636944203,2001.3685571199953
133,60_1,2035.1909523809525,93.69709954996412,-1.0843895571597841,2037.3456207947213
134,60_2,2024.6504761904762,102.93780748757762,-0.6843484153300556,2027.2643382506528
135,60_3,2016.6385714285714,68.1880602845635,-0.6828261832347731,2017.7905057854978
136,61_1,2011.7042857142858,229.60125694302764,-0.5331921814964482,2024.7581996729527
137,61_2,2011.1128571428571,104.98903559635956,-0.7881398819446948,2013.850136643028
138,61_3,1992.174761904762,118.06198834969199,-0.5899973013290092,1995.668378668923
139,62_1,2061.907619047619,98.88801005039552,-0.8909352558274182,2064.276437744851
140,62_2,2015.4761904761904,80.55670937428995,-0.9170398775421158,2017.0846704139733
141,62_3,2030.0580952380953,47.110813343267594,-0.9425114738192013,2030.6044031038548
142,63_1,2023.487619047619,394.0852420818681,-0.4448742184955088,2061.4876590878316
143,63_2,2007.82,356.6809293401186,-0.566429454285577,2039.2405096482553
144,63_3,2014.3128571428572,148.77755881542828,-0.6342972076704965,2019.7971452834659
145,64_1,2020.5138095238094,138.78134714420906,-1.047381091170282,2025.2721163434053
146,64_2,2012.7809523809524,67.161134793307,-1.0898180513629319,2013.9006014153113
147,64_3,2010.8709523809523,65.67587564894708,-0.8821788522627938,2011.9426566901761
148,65_1,2027.16,138.44443117749105,-1.0999394637443882,2031.8797698307887
149,65_2,2011.1585714285713,75.2728566732108,-1.031796567504359,2012.5660496703492
150,65_3,2032.7347619047619,78.85555045904871,-1.1728643520872017,2034.2629744080825
151,66_1,1981.3728571428571,182.6201876727223,-1.1662200871008586,1989.766984084413
152,66_2,1981.3728571428571,182.6201876727223,-1.1662200871008586,1989.766984084413
153,66_3,2012.807619047619,174.80939906638608,-0.9359931287484922,2020.3807279110256
154,67_1,2001.0985714285714,92.19196833817384,-0.8587001883093066,2003.2201087962637
155,67_2,2035.9538095238095,133.15778953027424,-1.082696898574212,2040.301563028181
156,67_3,1993.607142857143,88.16581267940722,-0.8764832304905177,1995.5547973051553
157,83_1,2015.4514285714286,285.9573275182318,-1.2288607530945215,2035.6269587618688
158,83_2,2028.61,291.9874298086645,-1.268944531756226,2049.5059387220967
159,83_3,1968.9780952380952,300.14218084823705,-0.9801732461130466,1991.7121203819065
160,84_1,1986.4109523809525,163.9266594108486,-0.822603624776058,1993.160210629867
161,84_2,1997.9614285714285,201.77933583388457,0.7963625023401635,2008.1198625532672
162,84_3,2004.972380952381,165.2564213620136,-1.3029627263158758,2011.7681100393825
163,85_1,1964.9861904761906,195.29595259335048,-1.1968189492122343,1974.6627751882816
164,85_2,2037.355238095238,124.11304186783505,-1.1005767382783957,2041.1303432400484
165,85_3,2041.4409523809525,152.04483253177867,-1.1086170620737568,2047.0925198343882
166,86_1,2104.5609523809526,275.1300088528428,-1.4122325737898493,2122.460194702185
167,86_2,2025.9861904761906,289.7700363042121,-1.4453563987181912,2046.5939347632016
168,86_3,2014.7880952380951,141.21346884730227,-1.3862035415013896,2019.728401708177
169,87_1,2024.374761904762,302.0484739897445,-1.070847154685011,2046.7738059827575
170,87_2,2022.6438095238095,313.8082559773475,-1.078975539571156,2046.8308939849985
171,87_3,1992.2133333333334,268.1471516071705,-0.8775321410978676,2010.1697990349921
172,88_1,2026.9552380952382,85.73689156215539,-0.8573302484158116,2028.7668302268182
173,88_2,2021.1842857142858,37.59660056696335,-1.1184056492384544,2021.5337613048262
174,88_3,2018.46,39.02913999130873,-1.054301328045619,2018.837120720738
175,89_1,1867.4633333333334,74.4951123306497,-0.7700943895478103,1868.9478806205889
176,89_2,2050.654761904762,113.57674220910802,-1.260754890945182,2053.7961160228338
177,89_3,1932.1409523809523,177.51419469387739,-0.426536284536553,1940.274450640817
178,90_1,1995.5114285714285,162.13003434008994,-0.9158695252733189,2002.083787552597
179,90_2,2031.5514285714285,91.8742575607619,-0.8180108986342787,2033.6268258131006
